productid,product_brand,product_name,product_category,price_inr,discount_price,percentage,currency,delivery_options,expiration_date,packaging_type,country_origin,image_url,description_1,description_2,customer_review1,customer_reviewer1,customer_review2,customer_reviewer2,customer_review3,customer_reviewer3,customer_review4,customer_reviewer4,available_size1,available_size2,available_size3,available_size4,additional_feature2,additional_feature3,additional_feature1,npk_ratio
1121,GreenGrow,Neem Cake Fertilizer,Bio-Fertilizer,908,852,6,INR,Same Day Delivery,29-06-2025,Canister,India,https://th.bing.com/th/id/OIG1.RHlMmrS0IxUWU03kki9D?pid=ImgGn,Give your plants the nourishment they deserve with Neem Cake Fertilizer.,"Ensure vibrant plant life with Neem Cake Fertilizer, offering superior nutrient absorption and growth acceleration.","Easy to use, results are visible within weeks.",Manish,Plants look greener and healthier now.,Anjali,"Good quality fertilizer, improved soil health significantly.",Rahul,Boosted plant growth significantly.,Anil,250grms,750grms,2kgs,5kg,Enhances root growth and strengthens plant immunity.,Enriched with essential nutrients for faster growth.,"With Neem Cake Fertilizer, enjoy healthier plants with faster root development.",20:07:03
1122,GreenGrow,Bone Meal,Chemical Fertilizer,617,593,4,INR,Free Shipping,07-05-2026,Bottle,India,https://th.bing.com/th/id/OIG3.WPEvtKSGFpp6UFlva6ZG?pid=ImgGn,"Get exceptional growth with Bone Meal, your plants' best ally.","Ensure vibrant plant life with Bone Meal, offering superior nutrient absorption and growth acceleration.","Easy to use, results are visible within weeks.",Kiran,"Good value for money, effective results.",Neha,"Good quality fertilizer, improved soil health significantly.",Manish,Boosted plant growth significantly.,Aditi,250grms,750grms,2kgs,5kg,"Maintains effectiveness for longer periods, ensuring durability in storage.",Improves soil aeration and water retention.,"Bone Meal guarantees optimal nutrient release, keeping plants healthy for weeks.",22:06:03
1123,GreenGrow,Bone Meal,Bio-Fertilizer,528,494,7,INR,Free Shipping,09-12-2028,Bag,India,https://th.bing.com/th/id/OIG4.zwNjVelYZVpIn68V3hEX?pid=ImgGn,Give your plants the nourishment they deserve with Bone Meal.,"Ensure vibrant plant life with Bone Meal, offering superior nutrient absorption and growth acceleration.","Easy to use, results are visible within weeks.",Kiran,"Good quality fertilizer, improved soil health significantly.",Sanjeev,"Impressive results, easy to apply.",Rajesh,"Highly effective for my garden, plants are thriving!",Ramesh,250grms,750grms,2kgs,5kg,Enhances root growth and strengthens plant immunity.,Improves soil aeration and water retention.,"Give your plants a boost with Bone Meal, enhancing overall plant vitality.",15:10:03
1124,EcoFert,Potash Boost,Organic Fertilizer,503,453,10,INR,Same Day Delivery,10-07-2025,Canister,India,https://th.bing.com/th/id/OIG3.6Xz4CCkho1FMdm_Vph0T?pid=ImgGn,Give your plants the nourishment they deserve with Potash Boost.,"Ensure vibrant plant life with Potash Boost, offering superior nutrient absorption and growth acceleration.","Easy to use, results are visible within weeks.",Priya,"Highly effective for my garden, plants are thriving!",Sonal,My crops have never been healthier!,Ramya,"Impressive results, easy to apply.",Meera,250grms,750grms,2kgs,5kg,Enriched with essential nutrients for faster growth.,"Rapidly provides essential nutrients, ensuring immediate nourishment for plants.","Potash Boost guarantees optimal nutrient release, keeping plants healthy for weeks.",20:09:03
1125,CropMax,Potash Boost,Organic Fertilizer,676,580,15,INR,Same Day Delivery,03-01-2026,Canister,India,https://th.bing.com/th/id/OIG4.QTR0vBrgQ05Swk3y7i6O?pid=ImgGn,"Potash Boost boosts soil health, creating a perfect environment for growth.","Ensure vibrant plant life with Potash Boost, offering superior nutrient absorption and growth acceleration.","Good quality fertilizer, improved soil health significantly.",Kiran,Plants look greener and healthier now.,Anjali,"Better than expected, highly effective.",Anjali,Plants look greener and healthier now.,Divya,250grms,500g,2kgs,5kg,Enhances root growth and strengthens plant immunity.,"Rapidly provides essential nutrients, ensuring immediate nourishment for plants.","With Potash Boost, enjoy healthier plants with faster root development.",15:07:04
1126,CropMax,Urea Fertilizer,Chemical Fertilizer,1000,919,8,INR,Same Day Delivery,06-08-2025,Canister,India,https://th.bing.com/th/id/OIG3.RRuEa.f9oh2YLwjAf.xz?pid=ImgGn,"Get exceptional growth with Urea Fertilizer, your plants' best ally.","Ensure vibrant plant life with Urea Fertilizer, offering superior nutrient absorption and growth acceleration.","Good quality fertilizer, improved soil health significantly.",Suresh,"Better than expected, highly effective.",Kunal,"Easy to use, results are visible within weeks.",Sonal,"Highly effective for my garden, plants are thriving!",Kiran,250grms,750grms,2kgs,5kg,"Ideal for all plant types, including flowers, vegetables, and lawns.",Improves soil aeration and water retention.,"Give your plants a boost with Urea Fertilizer, enhancing overall plant vitality.",18:06:06
1127,GreenGrow,Calcium Nitrate,Chemical Fertilizer,979,941,4,INR,Free Shipping,21-03-2026,Canister,India,https://th.bing.com/th/id/OIG2.2s8e1KATMdChFnquH7NU?pid=ImgGn,"Calcium Nitrate boosts soil health, creating a perfect environment for growth.","Ensure vibrant plant life with Calcium Nitrate, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Ramesh,"Good quality fertilizer, improved soil health significantly.",Harini,"Would buy again, very satisfied.",Jagadeesh,"Easy to use, results are visible within weeks.",Neha,250grms,750grms,2kgs,5kg,Enhances root growth and strengthens plant immunity.,"Made with eco-friendly, renewable ingredients for environmentally conscious gardening.","Calcium Nitrate guarantees optimal nutrient release, keeping plants healthy for weeks.",18:09:04
1128,CropMax,Compost Plus,Chemical Fertilizer,430,396,8,INR,Same Day Delivery,30-11-2028,Bottle,India,https://th.bing.com/th/id/OIG2.viwawley2D89NW8T8DvM?pid=ImgGn,Give your plants the nourishment they deserve with Compost Plus.,"Ensure vibrant plant life with Compost Plus, offering superior nutrient absorption and growth acceleration.","Perfect for organic gardening, very effective.",Sonal,My flowers are thriving thanks to this compost!,Manish,"Worked wonders for my plants, great quality.",Neha,"Impressive results, easy to apply.",Kunal,250grms,750grms,2kgs,5kg,Balances soil pH for optimal plant health.,"Rapidly provides essential nutrients, ensuring immediate nourishment for plants.","Compost Plus guarantees optimal nutrient release, keeping plants healthy for weeks.",18:07:03
1129,SoilSaver,DAP (Di-Ammonium Phosphate),Chemical Fertilizer,316,289,9,INR,Same Day Delivery,16-08-2025,Bottle,India,https://th.bing.com/th/id/OIG4.43Od.dc3W.eumyK0m6US?pid=ImgGn,"DAP (Di-Ammonium Phosphate) boosts soil health, creating a perfect environment for growth.","Ensure vibrant plant life with DAP (Di-Ammonium Phosphate), offering superior nutrient absorption and growth acceleration.","Good quality fertilizer, improved soil health significantly.",Manish,"Highly effective for my garden, plants are thriving!",Pooja,My crops have never been healthier!,Rajesh,"Easy to use, results are visible within weeks.",Ananya,250grms,750grms,2kgs,5kg,Enriched with essential nutrients for faster growth.,Improves soil aeration and water retention.,"DAP (Di-Ammonium Phosphate) guarantees optimal nutrient release, keeping plants healthy for weeks.",15:10:04
1130,AgriBoost,Potash Boost,Bio-Fertilizer,939,908,3,INR,Standard Delivery,10-11-2029,Bottle,India,https://th.bing.com/th/id/OIG4.J.F3UEA3XXlY4YiUQtwp?w=1024&h=1024&rs=1&pid=ImgDetMain,"Maximize your garden's potential with Potash Boost, specially formulated for robust development.","Ensure vibrant plant life with Potash Boost, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Amit,Plants look greener and healthier now.,Shiva,"Worked wonders for my plants, great quality.",Rajesh,"Good quality fertilizer, improved soil health significantly.",Manish,250grms,750grms,2kgs,5kg,Enriched with essential nutrients for faster growth.,Helps balance soil pH for better nutrient uptake and plant health.,"Formulated for Potash Boost, enhancing your soil's fertility and plant resilience.",20:10:04
1131,EcoFert,Calcium Nitrate,Bio-Fertilizer,488,388,23,INR,Free Shipping,17-12-2026,Bag,India,https://th.bing.com/th/id/OIG2.UCLTaeJAH7Xdy1_KDNYT?w=1024&h=1024&rs=1&pid=ImgDetMain,"Calcium Nitrate boosts soil health, creating a perfect environment for growth.","Ensure vibrant plant life with Calcium Nitrate, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Amit,My crops have never been healthier!,Neha,"Easy to use, results are visible within weeks.",Priya,"Good quality fertilizer, improved soil health significantly.",Suresh,250grms,750grms,2kgs,5kg,"Safe for plants, pets, and children with natural, non-toxic ingredients.",Enhances root growth and strengthens plant immunity.,"Formulated for Calcium Nitrate, enhancing your soil's fertility and plant resilience.",15:08:03
1132,SoilSaver,Sulphur Granules,Chemical Fertilizer,461,439,5,INR,Free Shipping,12-05-2025,Bag,India,https://th.bing.com/th/id/OIG2.WfpgN.Dnmt.yuDsEN.kA?pid=ImgGn,"Maximize your garden's potential with Sulphur Granules, specially formulated for robust development.","Ensure vibrant plant life with Sulphur Granules, offering superior nutrient absorption and growth acceleration.","Good quality fertilizer, improved soil health significantly.",Sanjeev,"Easy to use, results are visible within weeks.",Manish,"Would buy again, very satisfied.",Rajesh,Boosted plant growth significantly.,Meera,250grms,750grms,2kgs,5kg,Helps balance soil pH for better nutrient uptake and plant health.,Enriched with essential nutrients for faster growth.,"Formulated for Sulphur Granules, enhancing your soil's fertility and plant resilience.",22:08:04
1133,AgriBoost,Micronutrient Mix,Organic Fertilizer,459,397,14,INR,Free Shipping,24-12-2025,Bottle,India,https://th.bing.com/th/id/OIG1.hrPfsl0uvGP6InV8IHiw?w=1024&h=1024&rs=1&pid=ImgDetMain,Give your plants the nourishment they deserve with Micronutrient Mix.,"Ensure vibrant plant life with Micronutrient Mix, offering superior nutrient absorption and growth acceleration.","Easy to use, results are visible within weeks.",Amit,"Highly effective for my garden, plants are thriving!",Harini,"Better than expected, highly effective.",Shiva,"Impressive results, easy to apply.",Anjali,250grms,750grms,2kgs,5kg,Enriched with essential nutrients for faster growth.,Improves soil aeration and water retention.,"Give your plants a boost with Micronutrient Mix, enhancing overall plant vitality.",22:08:04
1134,EcoFert,Compost Plus,Chemical Fertilizer,331,285,15,INR,Same Day Delivery,08-03-2025,Bottle,India,https://th.bing.com/th/id/OIG4.jSDRQmWw3mVJfAyw0Dg.?pid=ImgGn,Give your plants the nourishment they deserve with Compost Plus.,"Ensure vibrant plant life with Compost Plus, offering superior nutrient absorption and growth acceleration.","Improved soil texture, and plants are greener.",Neha,"Perfect for organic gardening, very effective.",Manish,My flowers are thriving thanks to this compost!,Harini,Noticeable improvement in soil fertility.,Meghana,250grms,500g,2kgs,5kg,Balances soil pH for optimal plant health.,"Promotes soil aeration, allowing roots to breathe for healthier plant growth.","With Compost Plus, enjoy healthier plants with faster root development.",15:08:06
1135,GreenGrow,Urea Fertilizer,Bio-Fertilizer,974,923,5,INR,Standard Delivery,27-03-2026,Bag,India,https://th.bing.com/th/id/OIG1.TFzxwqGIKfTKbThENtEH?pid=ImgGn,"Urea Fertilizer boosts soil health, creating a perfect environment for growth.","Ensure vibrant plant life with Urea Fertilizer, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Amit,"Easy to use, results are visible within weeks.",Deepak,"Impressive results, easy to apply.",Ramya,"Good value for money, effective results.",Shiva,250grms,750grms,1kg,5kg,Enhances root growth and strengthens plant immunity.,"Promotes soil aeration, allowing roots to breathe for healthier plant growth.","Formulated for Urea Fertilizer, enhancing your soil's fertility and plant resilience.",20:06:04
1136,GreenGrow,Sulphur Granules,Organic Fertilizer,505,444,13,INR,Same Day Delivery,27-06-2026,Bottle,India,https://th.bing.com/th/id/OIG4.3naNAUaqKSZvLd9p1n0Q?w=1024&h=1024&rs=1&pid=ImgDetMain,"Sulphur Granules boosts soil health, creating a perfect environment for growth.","Ensure vibrant plant life with Sulphur Granules, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Priya,"Easy to use, results are visible within weeks.",Amit,My crops have never been healthier!,Rohan,My crops have never been healthier!,Jagadeesh,250grms,750grms,2kgs,5kg,Improves soil aeration and water retention.,"Promotes soil aeration, allowing roots to breathe for healthier plant growth.","Sulphur Granules guarantees optimal nutrient release, keeping plants healthy for weeks.",18:06:04
1137,EcoFert,Bio Phosphate,Organic Fertilizer,608,577,5,INR,Standard Delivery,30-06-2025,Bottle,India,https://th.bing.com/th/id/OIG2.7MjQuDQJsFt3TkJRdWO3?pid=ImgGn,"Bio Phosphate boosts soil health, creating a perfect environment for growth.","Ensure vibrant plant life with Bio Phosphate, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Pooja,"Good value for money, effective results.",Rajesh,Plants look greener and healthier now.,Vikram,"Good value for money, effective results.",Divya,250grms,750grms,2kgs,5kg,Improves soil aeration and water retention.,"Promotes soil aeration, allowing roots to breathe for healthier plant growth.","Give your plants a boost with Bio Phosphate, enhancing overall plant vitality.",20:09:04
1138,SoilSaver,Humic Acid Fertilizer,Chemical Fertilizer,806,763,5,INR,Free Shipping,15-03-2026,Bag,India,https://th.bing.com/th/id/OIG2.aDxjWmP0mRQhvlFSF9VU?pid=ImgGn,"Maximize your garden's potential with Humic Acid Fertilizer, specially formulated for robust development.","Ensure vibrant plant life with Humic Acid Fertilizer, offering superior nutrient absorption and growth acceleration.","Good quality fertilizer, improved soil health significantly.",Suresh,"Easy to use, results are visible within weeks.",Harini,"Highly effective for my garden, plants are thriving!",Pooja,Boosted plant growth significantly.,Vikram,250grms,750grms,2kgs,5kg,Enhances root growth and strengthens plant immunity.,Enriched with essential nutrients for faster growth.,"With Humic Acid Fertilizer, enjoy healthier plants with faster root development.",22:06:05
1139,GreenGrow,Potash Boost,Organic Fertilizer,704,660,6,INR,Free Shipping,29-12-2026,Bag,India,https://th.bing.com/th/id/OIG4.1taGggzp9bufGAsuJSDQ?w=1024&h=1024&rs=1&pid=ImgDetMain,Give your plants the nourishment they deserve with Potash Boost.,"Ensure vibrant plant life with Potash Boost, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Pooja,"Easy to use, results are visible within weeks.",Suresh,My crops have never been healthier!,Anil,"Better than expected, highly effective.",Ramya,250grms,750grms,2kgs,5kg,"Rapidly provides essential nutrients, ensuring immediate nourishment for plants.","Improves soil moisture retention, reducing the need for frequent watering.","Potash Boost guarantees optimal nutrient release, keeping plants healthy for weeks.",20:06:04
1140,AgriBoost,Organic Manure,Bio-Fertilizer,602,522,14,INR,Same Day Delivery,02-08-2027,Canister,India,https://th.bing.com/th/id/OIG1.CFnbiUuAyT5jg1qvtq6h?pid=ImgGn,Give your plants the nourishment they deserve with Organic Manure.,"Ensure vibrant plant life with Organic Manure, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Deepak,"Good quality fertilizer, improved soil health significantly.",Harini,"Impressive results, easy to apply.",Thanuja,"Excellent product, highly recommended!",Shiva,250grms,750grms,2kgs,5kg,"Promotes soil aeration, allowing roots to breathe for healthier plant growth.",Enhances root growth and strengthens plant immunity.,"With Organic Manure, enjoy healthier plants with faster root development.",16:10:03
1141,CropMax,Bio Phosphate,Bio-Fertilizer,532,453,16,INR,Same Day Delivery,10-03-2026,Bottle,India,https://th.bing.com/th/id/OIG4.3MNSrkDqyib9lUv9WMLk?pid=ImgGn,Give your plants the nourishment they deserve with Bio Phosphate.,"Ensure vibrant plant life with Bio Phosphate, offering superior nutrient absorption and growth acceleration.","Good quality fertilizer, improved soil health significantly.",Sonal,"Easy to use, results are visible within weeks.",Harini,"Worked wonders for my plants, great quality.",Neha,"Would buy again, very satisfied.",Anil,250grms,750grms,2kgs,5kg,"Maintains effectiveness for longer periods, ensuring durability in storage.","Ideal for all plant types, including flowers, vegetables, and lawns.","Bio Phosphate guarantees optimal nutrient release, keeping plants healthy for weeks.",16:09:06
1142,GreenGrow,Micronutrient Mix,Bio-Fertilizer,947,851,11,INR,Standard Delivery,07-04-2027,Canister,India,https://th.bing.com/th/id/OIG4.rC.IWa9qY.T5skg0uoW4?pid=ImgGn,"Maximize your garden's potential with Micronutrient Mix, specially formulated for robust development.","Ensure vibrant plant life with Micronutrient Mix, offering superior nutrient absorption and growth acceleration.","Good quality fertilizer, improved soil health significantly.",Lakshmi,"Easy to use, results are visible within weeks.",Suresh,"Excellent product, highly recommended!",Anil,"Excellent product, highly recommended!",Meera,250grms,750grms,2kgs,5kg,"Ideal for all plant types, including flowers, vegetables, and lawns.",Enhances root growth and strengthens plant immunity.,"With Micronutrient Mix, enjoy healthier plants with faster root development.",18:10:04
1143,AgriBoost,Vermicompost,Bio-Fertilizer,487,411,17,INR,Standard Delivery,12-10-2026,Bag,India,https://th.bing.com/th/id/OIG1.MPm9h.XDwOdGIYwxrWg2?w=1024&h=1024&rs=1&pid=ImgDetMain,"Maximize your garden's potential with Vermicompost, specially formulated for robust development.","Ensure vibrant plant life with Vermicompost, offering superior nutrient absorption and growth acceleration.","Perfect for organic gardening, very effective.",Amit,"Improved soil texture, and plants are greener.",Neha,Boosted plant growth significantly.,Rajesh,My flowers are thriving thanks to this compost!,Ananya,250grms,750grms,2kgs,5kg,Helps balance soil pH for better nutrient uptake and plant health.,Balances soil pH for optimal plant health.,"Vermicompost guarantees optimal nutrient release, keeping plants healthy for weeks.",20:09:03
1144,SoilSaver,Bone Meal,Chemical Fertilizer,491,432,13,INR,Standard Delivery,18-08-2025,Bottle,India,https://th.bing.com/th/id/OIG2._o3tkFZp5mqXVIRUKsTm?w=1024&h=1024&rs=1&pid=ImgDetMain,"Bone Meal boosts soil health, creating a perfect environment for growth.","Ensure vibrant plant life with Bone Meal, offering superior nutrient absorption and growth acceleration.","Good quality fertilizer, improved soil health significantly.",Sanjeev,"Easy to use, results are visible within weeks.",Kiran,Plants look greener and healthier now.,Meghana,Boosted plant growth significantly.,Jagadeesh,250grms,750grms,2kgs,5kg,Enhances root growth and strengthens plant immunity.,"Maintains effectiveness for longer periods, ensuring durability in storage.","Bone Meal guarantees optimal nutrient release, keeping plants healthy for weeks.",16:07:03
1145,AgriBoost,Bone Meal,Bio-Fertilizer,640,562,13,INR,Same Day Delivery,15-02-2026,Bag,India,https://th.bing.com/th/id/OIG3.ArYyXbz9sVbifJLtFaXv?w=1024&h=1024&rs=1&pid=ImgDetMain,Give your plants the nourishment they deserve with Bone Meal.,"Ensure vibrant plant life with Bone Meal, offering superior nutrient absorption and growth acceleration.","Good quality fertilizer, improved soil health significantly.",Rahul,Boosted plant growth significantly.,Thanuja,"Highly effective for my garden, plants are thriving!",Sanjeev,"Would buy again, very satisfied.",Vikram,250grms,750grms,1kg,5kg,"Made with eco-friendly, renewable ingredients for environmentally conscious gardening.",Enhances root growth and strengthens plant immunity.,"With Bone Meal, enjoy healthier plants with faster root development.",22:09:05
1146,EcoFert,Super Phosphate,Bio-Fertilizer,835,748,11,INR,Same Day Delivery,09-04-2026,Canister,India,https://th.bing.com/th/id/OIG3.IW5VePVFfjb1R7JA08Q7?w=1024&h=1024&rs=1&pid=ImgDetMain,"Get exceptional growth with Super Phosphate, your plants' best ally.","Ensure vibrant plant life with Super Phosphate, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Sanjeev,"Easy to use, results are visible within weeks.",Sonal,"Excellent product, highly recommended!",Jagadeesh,"Good quality fertilizer, improved soil health significantly.",Rahul,250grms,500g,2kgs,5kg,"Made with eco-friendly, renewable ingredients for environmentally conscious gardening.",Improves soil aeration and water retention.,"Super Phosphate guarantees optimal nutrient release, keeping plants healthy for weeks.",15:07:05
1147,AgriBoost,Neem Cake Fertilizer,Chemical Fertilizer,901,881,2,INR,Free Shipping,08-02-2025,Bag,India,https://th.bing.com/th/id/OIG4.9ArHCfzg3VH5hEWG_.QU?w=1024&h=1024&rs=1&pid=ImgDetMain,"Get exceptional growth with Neem Cake Fertilizer, your plants' best ally.","Ensure vibrant plant life with Neem Cake Fertilizer, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Venkat,"Easy to use, results are visible within weeks.",Kiran,"Good quality fertilizer, improved soil health significantly.",Harini,Plants look greener and healthier now.,Rajesh,250grms,750grms,2kgs,5kg,Enriched with essential nutrients for faster growth.,"Made with eco-friendly, renewable ingredients for environmentally conscious gardening.","Give your plants a boost with Neem Cake Fertilizer, enhancing overall plant vitality.",15:09:06
1148,SoilSaver,Poultry Manure,Chemical Fertilizer,446,395,12,INR,Standard Delivery,24-01-2025,Bottle,India,https://th.bing.com/th/id/OIG2.TdKbPsjv9qGQnpN8GtC.?w=1024&h=1024&rs=1&pid=ImgDetMain,"Get exceptional growth with Poultry Manure, your plants' best ally.","Ensure vibrant plant life with Poultry Manure, offering superior nutrient absorption and growth acceleration.","Perfect for my vegetable garden, saw quick growth!",Rahul,Boosted plant growth significantly.,Rohan,"Great for crops, enhanced soil fertility visibly.",Suresh,"Worked wonders for my plants, great quality.",Rohan,250grms,500g,2kgs,5kg,"Rich in nitrogen, phosphorus, and potassium for strong plant growth.","Maintains effectiveness for longer periods, ensuring durability in storage.","With Poultry Manure, enjoy healthier plants with faster root development.",16:06:03
1149,AgriBoost,Calcium Nitrate,Organic Fertilizer,423,357,17,INR,Standard Delivery,09-02-2027,Bag,India,https://th.bing.com/th/id/OIG1.Ol8RVpFcT3wXhjPmAsg8?pid=ImgGn,"Maximize your garden's potential with Calcium Nitrate, specially formulated for robust development.","Ensure vibrant plant life with Calcium Nitrate, offering superior nutrient absorption and growth acceleration.","Easy to use, results are visible within weeks.",Sanjeev,Plants look greener and healthier now.,Rohan,"Good quality fertilizer, improved soil health significantly.",Manish,Plants look greener and healthier now.,Aditi,250grms,500g,2kgs,5kg,Enriched with essential nutrients for faster growth.,"Enhances soil structure, improving root growth and overall plant health.","Calcium Nitrate guarantees optimal nutrient release, keeping plants healthy for weeks.",16:07:03
1150,AgriBoost,DAP (Di-Ammonium Phosphate),Chemical Fertilizer,651,584,11,INR,Same Day Delivery,01-07-2026,Bottle,India,https://th.bing.com/th/id/OIG4.7uDy5pZD4.Z4ZdNI24bi?pid=ImgGn,"DAP (Di-Ammonium Phosphate) boosts soil health, creating a perfect environment for growth.","Ensure vibrant plant life with DAP (Di-Ammonium Phosphate), offering superior nutrient absorption and growth acceleration.","Good quality fertilizer, improved soil health significantly.",Amit,"Easy to use, results are visible within weeks.",Sonal,Noticeable improvement in soil fertility.,Jagadeesh,"Worked wonders for my plants, great quality.",Jagadeesh,250grms,750grms,2kgs,5kg,"Rapidly provides essential nutrients, ensuring immediate nourishment for plants.",Improves soil aeration and water retention.,"Formulated for DAP (Di-Ammonium Phosphate), enhancing your soil's fertility and plant resilience.",15:09:06
1151,GreenGrow,Poultry Manure,Organic Fertilizer,736,642,14,INR,Standard Delivery,18-12-2026,Bottle,India,https://th.bing.com/th/id/OIG4.AoI2l1w6F70QQo9EuzxB?w=1024&h=1024&rs=1&pid=ImgDetMain,"Maximize your garden's potential with Poultry Manure, specially formulated for robust development.","Ensure vibrant plant life with Poultry Manure, offering superior nutrient absorption and growth acceleration.","Perfect for my vegetable garden, saw quick growth!",Kiran,Plants look greener and healthier now.,Divya,"Boosted my farm yield, excellent organic product.",Priya,"Excellent product, highly recommended!",Thanuja,250grms,500g,2kgs,5kg,Boosts soil microbial activity for healthier crops.,"Promotes soil aeration, allowing roots to breathe for healthier plant growth.","Poultry Manure guarantees optimal nutrient release, keeping plants healthy for weeks.",18:07:06
1152,AgriBoost,Vermicompost,Organic Fertilizer,439,341,25,INR,Free Shipping,10-06-2025,Canister,India,https://th.bing.com/th/id/OIG4.FWr1N8mlMUla6stexggy?pid=ImgGn,Give your plants the nourishment they deserve with Vermicompost.,"Ensure vibrant plant life with Vermicompost, offering superior nutrient absorption and growth acceleration.","Improved soil texture, and plants are greener.",Neha,"Perfect for organic gardening, very effective.",Lakshmi,"Would buy again, very satisfied.",Vikram,My flowers are thriving thanks to this compost!,Ananya,250grms,750grms,2kgs,5kg,"Ideal for all plant types, including flowers, vegetables, and lawns.","Rapidly provides essential nutrients, ensuring immediate nourishment for plants.","Give your plants a boost with Vermicompost, enhancing overall plant vitality.",15:10:04
1153,GreenGrow,Granular NPK Fertilizer,Chemical Fertilizer,316,261,19,INR,Free Shipping,12-10-2025,Bag,India,https://th.bing.com/th/id/OIG4.GVh60lmfdWgFuqpZ6WgR?pid=ImgGn,"Maximize your garden's potential with Granular NPK Fertilizer, specially formulated for robust development.","Ensure vibrant plant life with Granular NPK Fertilizer, offering superior nutrient absorption and growth acceleration.","Good quality fertilizer, improved soil health significantly.",Harini,"Easy to use, results are visible within weeks.",Sonal,"Highly effective for my garden, plants are thriving!",Manish,Boosted plant growth significantly.,Rajesh,250grms,750grms,2kgs,5kg,Enhances root growth and strengthens plant immunity.,"Safe for plants, pets, and children with natural, non-toxic ingredients.","Granular NPK Fertilizer guarantees optimal nutrient release, keeping plants healthy for weeks.",16:10:03
1154,EcoFert,Urea Fertilizer,Bio-Fertilizer,971,937,4,INR,Free Shipping,11-10-2025,Bag,India,https://th.bing.com/th/id/OIG3.1TFbKTNXCac7dMMmyo9n?w=1024&h=1024&rs=1&pid=ImgDetMain,Give your plants the nourishment they deserve with Urea Fertilizer.,"Ensure vibrant plant life with Urea Fertilizer, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Kiran,"Impressive results, easy to apply.",Rajesh,"Good quality fertilizer, improved soil health significantly.",Rahul,My crops have never been healthier!,Shiva,250grms,750grms,2kgs,5kg,Enriched with essential nutrients for faster growth.,"Promotes soil aeration, allowing roots to breathe for healthier plant growth.","Give your plants a boost with Urea Fertilizer, enhancing overall plant vitality.",15:07:04
1155,AgriBoost,Potash Boost,Chemical Fertilizer,516,491,5,INR,Same Day Delivery,26-06-2025,Bag,India,https://th.bing.com/th/id/OIG1.SZnfoYDSx08se384ZcBB?w=1024&h=1024&rs=1&pid=ImgDetMain,"Get exceptional growth with Potash Boost, your plants' best ally.","Ensure vibrant plant life with Potash Boost, offering superior nutrient absorption and growth acceleration.","Easy to use, results are visible within weeks.",Pooja,"Good quality fertilizer, improved soil health significantly.",Neha,"Highly effective for my garden, plants are thriving!",Priya,My crops have never been healthier!,Anjali,250grms,500g,1kg,5kg,Helps balance soil pH for better nutrient uptake and plant health.,Improves soil aeration and water retention.,"Give your plants a boost with Potash Boost, enhancing overall plant vitality.",22:07:05
1156,CropMax,Nitrogen Booster,Organic Fertilizer,574,535,7,INR,Standard Delivery,25-12-2026,Bag,India,https://th.bing.com/th/id/OIG2.sKMTyhgwt2_u7sWAzzMR?w=1024&h=1024&rs=1&pid=ImgDetMain,"Maximize your garden's potential with Nitrogen Booster, specially formulated for robust development.","Ensure vibrant plant life with Nitrogen Booster, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Neha,"Good quality fertilizer, improved soil health significantly.",Suresh,"Impressive results, easy to apply.",Neha,"Excellent product, highly recommended!",Divya,250grms,500g,2kgs,5kg,Improves soil aeration and water retention.,"Enhances soil structure, improving root growth and overall plant health.","Give your plants a boost with Nitrogen Booster, enhancing overall plant vitality.",18:06:06
1157,SoilSaver,Compost Plus,Bio-Fertilizer,307,239,25,INR,Same Day Delivery,15-03-2026,Bag,India,https://th.bing.com/th/id/OIG2.TuKojgtviwZoaXbxw8D0?w=1024&h=1024&rs=1&pid=ImgDetMain,"Maximize your garden's potential with Compost Plus, specially formulated for robust development.","Ensure vibrant plant life with Compost Plus, offering superior nutrient absorption and growth acceleration.","Improved soil texture, and plants are greener.",Priya,My flowers are thriving thanks to this compost!,Neha,"Excellent product, highly recommended!",Meera,"Worked wonders for my plants, great quality.",Aditi,250grms,750grms,2kgs,5kg,Supports sustainable farming with organic matter.,"Maintains effectiveness for longer periods, ensuring durability in storage.","Compost Plus guarantees optimal nutrient release, keeping plants healthy for weeks.",20:06:03
